ticket_id,opened_date,order_id,sku,channel,customer_message,category,risk_level,agent_note
CS-26-001,2026-08-01,AMZ-2607-0001,BG-G2-BLK,Amazon message,How do I set it for pour over? The order number is included above.,usage_question,Low,Provide the product-guide steps; do not promise an exact click count.
CS-26-002,2026-08-02,AMZ-2607-0004,BG-G2-BLU,Email,Tracking has not moved for eight days. The order number is included above.,shipping_delay,Medium,Check carrier event before any replacement promise.
CS-26-003,2026-08-03,AMZ-2607-0007,BG-G2-GRN,Email,The glass cup is chipped out of the box and I need it for a gift this weekend. The order number is included above.,damage,High,Photo and order verification required before remedy.
CS-26-004,2026-08-04,AMZ-2607-0010,BG-G2-CRM,Email,Your page said quiet and this is loud when I crank it. The order number is included above.,listing_complaint,High,Do not dispute; flag Listing wording for human review.
CS-26-005,2026-08-05,AMZ-2607-0013,BG-G2-SLV-GFT,Email,I thought this was an electric coffee grinder. I want a refund. The order number is included above.,return_request,High,Listing expectation risk; refund action needs human confirmation.
CS-26-006,2026-08-06,AMZ-2607-0016,BG-G2-SLV,Amazon message,The handle came loose. Can you send a new one today? The order number is included above.,quality,Medium,Verify address/order and warranty policy; no same-day promise.
CS-26-007,2026-08-07,AMZ-2607-0019,BG-G2-BLK-GFT,Email,I used it once and want to return it because espresso takes too much effort. The order number is included above.,return_request,Medium,Explain usage limit only if policy verified; avoid sales-pressure wording.
CS-26-008,2026-08-08,AMZ-2607-0022,BG-G2-BLK,Email,"If no one responds, I will open an Amazon A-to-z claim. The order number is included above.",platform_risk,Critical,Escalate to human immediately; do not offer unapproved compensation.
CS-26-009,2026-08-01,AMZ-2607-0025,BG-G2-BLU,Email,There was dark residue near the burr. Is it safe? The order number is included above.,safety_concern,Critical,Escalate for quality review; do not make food-safety claim.
CS-26-010,2026-08-02,AMZ-2607-0028,BG-G2-GRN,Email,Can it grind spices too? The order number is included above.,usage_question,Medium,Product is positioned for coffee beans; avoid claiming spice compatibility.
CS-26-011,2026-08-03,AMZ-2607-0031,BG-G2-CRM,Amazon message,How do I set it for pour over? I checked the help page before contacting you.,usage_question,Low,Provide the product-guide steps; do not promise an exact click count.
CS-26-012,2026-08-04,AMZ-2607-0034,BG-G2-SLV-GFT,Email,Tracking has not moved for eight days. I checked the help page before contacting you.,shipping_delay,Medium,Check carrier event before any replacement promise.
CS-26-013,2026-08-05,AMZ-2607-0037,BG-G2-SLV,Email,The glass cup is chipped out of the box and I need it for a gift this weekend. I checked the help page before contacting you.,damage,High,Photo and order verification required before remedy.
CS-26-014,2026-08-06,AMZ-2607-0040,BG-G2-BLK-GFT,Email,Your page said quiet and this is loud when I crank it. I checked the help page before contacting you.,listing_complaint,High,Do not dispute; flag Listing wording for human review.
CS-26-015,2026-08-07,AMZ-2607-0043,BG-G2-BLK,Email,I thought this was an electric coffee grinder. I want a refund. I checked the help page before contacting you.,return_request,High,Listing expectation risk; refund action needs human confirmation.
CS-26-016,2026-08-08,AMZ-2607-0046,BG-G2-BLU,Amazon message,The handle came loose. Can you send a new one today? I checked the help page before contacting you.,quality,Medium,Verify address/order and warranty policy; no same-day promise.
CS-26-017,2026-08-01,AMZ-2607-0049,BG-G2-GRN,Email,I used it once and want to return it because espresso takes too much effort. I checked the help page before contacting you.,return_request,Medium,Explain usage limit only if policy verified; avoid sales-pressure wording.
CS-26-018,2026-08-02,AMZ-2607-0052,BG-G2-CRM,Email,"If no one responds, I will open an Amazon A-to-z claim. I checked the help page before contacting you.",platform_risk,Critical,Escalate to human immediately; do not offer unapproved compensation.
CS-26-019,2026-08-03,AMZ-2607-0055,BG-G2-SLV-GFT,Email,There was dark residue near the burr. Is it safe? I checked the help page before contacting you.,safety_concern,Critical,Escalate for quality review; do not make food-safety claim.
CS-26-020,2026-08-04,AMZ-2607-0058,BG-G2-SLV,Email,Can it grind spices too? I checked the help page before contacting you.,usage_question,Medium,Product is positioned for coffee beans; avoid claiming spice compatibility.
CS-26-021,2026-08-05,AMZ-2607-0061,BG-G2-BLK-GFT,Amazon message,How do I set it for pour over? Please reply through the same channel.,usage_question,Low,Provide the product-guide steps; do not promise an exact click count.
CS-26-022,2026-08-06,AMZ-2607-0064,BG-G2-BLK,Email,Tracking has not moved for eight days. Please reply through the same channel.,shipping_delay,Medium,Check carrier event before any replacement promise.
CS-26-023,2026-08-07,AMZ-2607-0067,BG-G2-BLU,Email,The glass cup is chipped out of the box and I need it for a gift this weekend. Please reply through the same channel.,damage,High,Photo and order verification required before remedy.
CS-26-024,2026-08-08,AMZ-2607-0070,BG-G2-GRN,Email,Your page said quiet and this is loud when I crank it. Please reply through the same channel.,listing_complaint,High,Do not dispute; flag Listing wording for human review.
CS-26-025,2026-08-01,AMZ-2607-0073,BG-G2-CRM,Email,I thought this was an electric coffee grinder. I want a refund. Please reply through the same channel.,return_request,High,Listing expectation risk; refund action needs human confirmation.
CS-26-026,2026-08-02,AMZ-2607-0076,BG-G2-SLV-GFT,Amazon message,The handle came loose. Can you send a new one today? Please reply through the same channel.,quality,Medium,Verify address/order and warranty policy; no same-day promise.
CS-26-027,2026-08-03,AMZ-2607-0079,BG-G2-SLV,Email,I used it once and want to return it because espresso takes too much effort. Please reply through the same channel.,return_request,Medium,Explain usage limit only if policy verified; avoid sales-pressure wording.
CS-26-028,2026-08-04,AMZ-2607-0082,BG-G2-BLK-GFT,Email,"If no one responds, I will open an Amazon A-to-z claim. Please reply through the same channel.",platform_risk,Critical,Escalate to human immediately; do not offer unapproved compensation.
CS-26-029,2026-08-05,AMZ-2607-0085,BG-G2-BLK,Email,There was dark residue near the burr. Is it safe? Please reply through the same channel.,safety_concern,Critical,Escalate for quality review; do not make food-safety claim.
CS-26-030,2026-08-06,AMZ-2607-0088,BG-G2-BLU,Email,Can it grind spices too? Please reply through the same channel.,usage_question,Medium,Product is positioned for coffee beans; avoid claiming spice compatibility.
